지점,지점명,일시,풍속(m/s),풍향(16방위)
21229,울릉도독도,2019-04-05 1:00,9.3,225
21229,울릉도독도,2019-04-05 2:00,10,249
21229,울릉도독도,2019-04-05 3:00,10.2,249
21229,울릉도독도,2019-04-05 4:00,10,247
21229,울릉도독도,2019-04-05 5:00,10.8,246
21229,울릉도독도,2019-04-05 6:00,7.3,246
21229,울릉도독도,2019-04-05 7:00,8.7,231
21229,울릉도독도,2019-04-05 8:00,10.3,242
21229,울릉도독도,2019-04-05 9:00,12.8,253
21229,울릉도독도,2019-04-05 10:00,12,259
21229,울릉도독도,2019-04-05 11:00,11.3,251
21229,울릉도독도,2019-04-05 12:00,12.2,250
21229,울릉도독도,2019-04-05 13:00,10.3,242
21229,울릉도독도,2019-04-05 14:00,10,264
21229,울릉도독도,2019-04-05 15:00,6.5,295
21229,울릉도독도,2019-04-05 16:00,9.1,331
21229,울릉도독도,2019-04-05 17:00,9.5,354
21229,울릉도독도,2019-04-05 18:00,7.2,3
21229,울릉도독도,2019-04-05 19:00,6,11
21229,울릉도독도,2019-04-05 20:00,5.8,3
21229,울릉도독도,2019-04-05 21:00,2.6,54
21229,울릉도독도,2019-04-05 22:00,1.2,76
21229,울릉도독도,2019-04-05 23:00,0.1,166
21229,울릉도독도,2019-04-06 0:00,0.3,251
